"Station", "Date", "Time", "X", "Y", "Z"
BRJA,2010-01-01,0:0:0,4757928.820,-126764.783,4232288.031
BRZR,2010-01-01,0:0:0,4662221.345,-220770.444,4333309.020
BUIT,2010-01-01,0:0:0,4811616.614,-305829.336,4163151.547
BUOS,2010-01-01,0:0:0,4771363.129,-255732.028,4212133.524
BURG,2010-01-01,0:0:0,4712044.505,-303624.843,4274801.392
CAAL,2010-01-01,0:0:0,5081921.530,-226112.507,3838297.567
CABR,2010-01-01,0:0:0,5053918.535,-391028.470,3859089.817
CACE,2010-01-01,0:0:0,4899866.803,-544567.603,4033769.767
CALA,2010-01-01,0:0:0,4825782.644,-109395.457,4156451.672
CALH,2010-01-01,0:0:0,4722455.030,-164501.834,4270170.348
CANT,2010-01-01,0:0:0,4625924.664,-307096.774,4365771.142
CARC,2010-01-01,0:0:0,4717608.704,-118658.170,4277009.043
CARG,2010-01-01,0:0:0,5059185.506,-85999.170,3870099.214
CARV,2010-01-01,0:0:0,5027037.163,-172709.093,3910011.850
CAS0,2010-01-01,0:0:0,4700702.565,-239260.653,4290677.823
CASO,2010-01-01,0:0:0,4638385.608,-433754.311,4342706.035
CATU,2010-01-01,0:0:0,4959262.558,-480911.784,3969353.204
CATY,2010-01-01,0:0:0,4793284.360,-137217.111,4192304.262
CAZA,2010-01-01,0:0:0,5011763.821,-505522.365,3900415.566
CBON,2010-01-01,0:0:0,4911590.160,291137.391,4045072.232
CDRD,2010-01-01,0:0:0,4819303.884,-552338.674,4128398.802
CERV,2010-01-01,0:0:0,4744255.975,-160966.190,4246699.282
CEU1,2010-01-01,0:0:0,5150907.984,-478415.095,3718518.216
CIEZ,2010-01-01,0:0:0,5015255.707,-120894.456,3926008.323
CLTR,2010-01-01,0:0:0,4965779.857,-326027.857,3977284.561
CNAR,2010-01-01,0:0:0,4629386.226,-530836.684,4341282.684
COBA,2010-01-01,0:0:0,5021256.053,-414685.101,3898182.169
CORI,2010-01-01,0:0:0,4862596.669,-555711.633,4076613.784
CRDB,2010-01-01,0:0:0,5023360.639,-420749.33,3894832.042
